PAG-Y4o8g3SaPdf2hF9xLt41q,OW-OD-011,進行中の案件 詳細,表示,page-owner active_order
PAG-RZ8GKABSXMAcvuq2thlwZ,OW-OD-002,終了した案件 一覧,表示,page-owner closed_order
PAG-TAZAyW19cDklzSRCze5JW,OW-OD-012,終了した案件 詳細,表示,page-owner closed_order
PAG-Cwyj60MHlv5ncdv9PmfTs,OW-RQ-020,案件 見積り依頼,入力,page-owner request
PAG-N689xC6HV0ssHHm0ir71s,OW-RQ-030,案件 見積り依頼,確認,page-owner request
PAG-JUu7vPPDBwWD4344nEgFH,NVEB4T4O6NBG,案件 見積り依頼,実行,page-owner request
PAG-TMTfMvCPKK7fwUvXtcciU,PREGR8X9ARPA,案件 見積り依頼,取消,page-owner request
PAG-HctJavDCdNt6eg4BtQOcr,OW-EM-000,提案のあった見積 一覧,表示,page-owner estimate
PAG-VMLL7Pu2WpiDwwcwp4ogf,OW-EM-010,提案のあった見積 詳細,表示,page-owner estimate
PAG-AQbf8NoQ9ahcZq6yXIK9O,OW-PL-020,発注,入力,page-owner place
PAG-S3TWajfHBE8sWkjek4NTI,OW-PL-030,発注,確認,page-owner place
PAG-JLyKj7pVAb8xPxNy1P526,LTJDPVE58T8A,発注,実行,page-owner place
PAG-G6ABB5ZQffKYVAlIb7kCD,E2A2JPY06A7F,お断り,入力,page-owner reject
PAG-HKUTo9hms08IftrwCoJeQ,OW-PY-020,入金通知,入力,page-owner payed
PAG-Z8Isqayt9WdWYcSG2Pk25,OW-PY-030,入金通知,確認,page-owner payed
PAG-M9ZdP98iAIjYMr6BUdXlr,JB3KJ5XVY2HG,入金通知,実行,page-owner payed
PAG-SmzxEOz5i48ecqmscecRt,OW-RV-020,評価,入力,page-owner review
PAG-CzNBnjdO0TXpEmwmkEAcu,OW-RV-030,評価,入力,page-owner review
PAG-XcmCKjmVv8As3Wr64XUGX,EH51QINDS3UK,評価,実行,page-owner review
PAG-KQO8ukMyqNHBqFUYpH9J5,OW-BD-010,コンタクトボード,表示,page-owner board
PAG-X7a0618Cmkm31rYdy1x17,OW-BD-011,コンタクトボード,表示,page-owner board
PAG-K2FSkabQtdoQ01Xh7d7AI,OW-AC-020,荷主情報 詳細,表示,page-owner account
PAG-TSbA3gN9FLWAlzYm9DcHW,OW-AC-030,荷主情報,編集,page-owner account
PAG-XuZEfzdHRwf7LEB9USi6F,PFOVJFBVIBR9,荷主情報,更新,page-owner account
PAG-NsOaUc0pu3yxo4jGQg1Eh,CR-HM-000,ダッシュボード,表示,page-carrier dashboard
PAG-BadrRP9zZQ88kMImGp14h,CR-RQ-000,見積依頼 一覧,表示,page-carrier request
